x,y
129,346
133,346
140,346
148,346
154,346
162,348
170,348
184,349
191,349
197,349
208,349
212,349
205,350
192,352
182,352
176,351
167,348
199,350
210,351
221,350
229,350
237,349
262,348
262,348
261,348
257,349
251,350
245,351
236,351
227,350
216,350
307,350
314,349
319,349
326,349
338,348
341,348
333,348
339,348
346,348
351,348
358,349
365,349
374,350
382,351
389,351
397,351
397,351
407,351
419,351
426,351
435,351
444,351
454,350
440,347
427,347
419,347
412,349
392,354
381,354
128,322
133,323
137,323
143,323
149,323
155,324
165,324
175,324
179,325
186,325
197,326
211,326
212,326
222,326
232,326
241,326
252,325
256,324
266,324
262,324
249,322
236,322
222,322
208,322
202,322
196,323
188,324
202,323
218,321
229,321
299,321
305,321
314,320
318,319
323,319
330,319
335,319
350,319
362,318
372,318
382,319
388,319
397,319
400,319
410,319
420,319
432,319
438,319
450,320
453,320
439,318
429,318
420,318
412,318
401,318
389,319
381,320
370,320
357,320
350,319
338,319
345,318
443,318
265,349
270,348
301,350
297,322
272,324
272,319
274,313
272,311
273,306
271,303
273,299
274,294
271,288
272,281
272,279
273,275
272,272
272,269
270,260
272,254
273,249
274,243
270,232
270,224
270,219
272,211
271,229
272,240
270,248
299,313
299,307
297,298
297,289
299,282
298,276
298,270
298,266
298,263
298,258
299,250
299,250
298,243
300,240
300,237
299,229
299,225
299,219
299,215
302,299
299,307
297,315
263,457
263,457
264,453
262,450
264,443
265,441
264,434
266,429
265,424
265,420
265,416
265,414
266,409
267,404
266,398
266,391
267,384
267,377
271,366
270,359
268,354
268,364
270,370
268,375
302,460
304,452
303,446
304,441
303,435
304,428
305,423
305,417
306,412
304,408
302,408
302,405
301,402
301,396
302,395
302,391
305,385
302,377
301,373
301,367
300,361
300,356
304,386
302,380
307,461
314,464
323,464
325,464
318,464
311,464
325,464
331,463
331,461
334,454
335,442
333,438
332,441
333,452
334,459
334,451
335,444
335,438
338,428
335,419
335,408
335,401
334,392
334,384
336,376
335,374
335,380
336,388
338,401
337,409
336,415
331,428
336,436
336,427
335,416
335,404
334,426
334,434
334,424
341,411
336,400
338,391
339,382
344,377
342,376
345,375
360,375
363,375
348,373
369,377
384,377
366,377
352,377
358,377
372,376
378,375
390,375
399,375
408,375
414,375
435,375
424,374
439,374
449,374
454,367
454,357
455,354
455,366
444,369
436,376
415,378
407,380
323,256
324,246
304,210
310,211
318,210
326,209
333,287
333,281
335,274
333,261
334,253
333,246
332,238
333,229
334,223
331,212
331,212
333,212
332,217
333,232
333,256
334,270
334,284
339,290
351,292
363,292
369,292
375,292
383,291
392,291
399,291
409,290
416,290
425,290
434,289
443,288
449,288
453,287
454,313
453,308
456,301
454,294
452,287
446,286
439,285
358,285
342,292
333,292
340,289
352,288
358,289
369,289
388,288
395,286
129,323
127,318
128,314
129,304
129,301
129,296
127,305
127,310
133,297
143,297
147,297
161,297
164,296
170,296
181,295
191,295
199,295
206,295
212,295
220,294
233,294
244,294
238,293
229,291
223,291
168,296
150,301
138,301
146,299
153,299
164,298
172,298
180,296
188,295
196,294
229,292
231,285
229,280
233,273
234,270
235,262
234,258
235,256
235,248
236,244
235,236
236,229
236,224
236,221
237,213
241,210
246,209
253,208
259,208
268,210
126,350
132,349
131,354
128,364
129,369
129,379
133,366
132,358
131,377
140,379
145,375
151,375
158,376
164,376
174,375
183,374
188,374
200,374
210,375
217,376
223,377
232,377
238,376
227,457
228,449
228,441
229,431
229,422
232,413
233,406
233,396
233,390
233,388
235,381
224,379
212,377
205,376
197,374
185,373
174,371
167,371
142,373
229,456
240,456
245,456
255,455
244,455
238,455
241,448
247,440
245,430
241,421
253,421
252,444
243,443
240,431
250,413
253,395
238,380
142,356
139,362
139,373
146,373
151,366
142,361
152,356
160,357
166,359
155,367
163,368
175,368
182,368
175,361
191,359
198,360
189,363
211,368
219,366
201,362
214,361
220,361
204,365
230,369
242,372
212,365
232,354
193,363
203,365
193,371
213,371
227,364
233,362
241,362
250,362
261,362
250,381
256,382
264,384
257,386
249,399
250,408
252,419
252,424
247,407
241,400
251,383
260,379
263,399
259,406
257,420
249,434
242,439
246,442
258,444
323,451
328,438
320,427
326,424
320,412
317,402
313,394
316,385
313,372
327,369
335,367
350,364
359,364
368,363
379,361
405,362
412,362
433,361
326,292
329,270
340,244
325,232
319,225
249,447
240,449
231,451
254,455
258,456
273,446
268,461
270,453
273,442
276,436
278,423
277,413
278,395
275,385
272,376
274,357
275,374
273,397
269,415
324,432
317,421
308,418
301,424
302,434
297,454
295,460
300,452
294,450
310,447
324,442
325,435
320,431
322,422
320,411
318,428
316,431
311,441
312,450
313,456
320,441
315,434
322,423
327,432
324,441
326,450
319,434
316,424
310,420
310,412
320,406
322,395
323,387
319,403
313,403
311,401
318,395
333,394
333,406
330,397
325,385
319,380
311,371
305,359
321,361
324,361
335,359
326,356
311,360
319,371
316,385
322,374
333,369
351,359
340,357
351,357
358,360
364,364
372,365
374,371
389,370
404,368
395,366
390,364
407,363
417,363
436,363
428,364
420,364
416,362
426,355
442,355
440,359
425,359
273,419
271,428
265,439
272,409
146,324
138,314
151,309
160,308
148,308
167,312
182,316
189,316
179,308
185,307
193,305
204,305
211,305
228,308
242,307
233,295
240,290
241,282
246,267
241,250
245,236
245,228
247,222
254,219
262,219
263,220
263,227
257,228
261,240
256,246
249,253
242,259
249,266
255,262
261,258
263,251
252,246
249,238
247,227
256,228
259,235
252,267
244,271
240,274
248,280
260,272
263,266
259,284
251,290
259,295
263,280
254,296
255,302
253,311
261,316
265,301
268,288
266,305
255,308
237,308
207,312
186,311
165,310
157,317
151,317
167,318
172,320
154,315
151,308
168,304
173,304
177,312
177,312
188,313
206,307
200,309
198,315
209,317
214,318
216,310
193,303
186,302
211,304
224,297
221,301
235,303
228,313
222,313
234,315
242,316
248,304
240,302
254,327
248,321
259,319
253,317
264,314
265,309
261,291
262,279
252,278
245,278
252,288
252,270
242,259
239,235
317,220
314,220
318,220
325,220
313,220
306,223
311,236
305,232
312,231
321,238
322,226
327,226
319,242
307,244
307,251
306,259
308,262
310,279
304,280
305,272
315,272
314,265
314,259
317,251
324,252
326,258
323,269
322,278
316,282
312,289
308,296
313,304
308,313
317,314
327,307
323,295
326,289
316,303
322,306
306,311
328,312
337,309
331,302
338,300
344,300
353,302
347,310
343,314
356,316
361,309
361,307
360,303
368,304
369,309
381,310
376,303
382,300
389,301
391,313
376,316
392,315
392,305
402,302
401,316
405,313
399,309
399,302
410,301
414,302
414,308
424,309
418,299
430,298
422,302
415,314
425,315
434,311
434,306
438,299
441,297
447,297
448,308
442,310
442,314
256,372
252,369
261,374
253,382
248,389
245,396
244,389
238,406
242,417
250,423
257,433
248,434
238,445
230,444
254,417
253,396
268,371
260,364
250,363
316,374
322,392
327,409
376,309
